,SwissProt1,SwissProt2
32045,Q9UGJ0,O75131
32117,P42858,O75146
32118,P55072,O75146
32242,Q13148,O75152
32276,Q9UGJ0,O75153
32575,P04626,O75190
32594,Q13148,O75190
32738,O60260,O75306
32810,P00441,O75312
32940,P55072,O75323
33003,Q5S007,O75330
33099,P55072,O75340
33141,Q9UGJ0,O75340
33199,O43464,O75351
33516,P04626,O75368
33578,P49768,O75369
33681,P42858,O75376
34019,Q6ZW49,O75394
34071,P55072,O75396
34224,P42858,O75400
34279,Q6ZW49,O75400
34327,P42858,O75409
34341,P42858,O75410
34392,P51587,O75419
34529,Q9UGJ0,O75436
34576,Q16595,O75439
34588,Q9UGJ0,O75439
34654,P42858,O75446
34964,P20226,O75478
34965,P20226,O75478
34966,P20226,O75478
35006,Q6ZW49,O75478
35087,O60260,O75489
35110,P42858,O75489
35135,Q99497,O75489
35162,P35637,O75494
35163,P35637,O75494
35196,Q6ZW49,O75494
35258,P55072,O75506
35312,P35637,O75525
35313,P35637,O75525
35398,Q9UGJ0,O75526
35874,P04626,O75553
36085,Q99497,O75570
36134,Q9NQ11,O75581
36135,Q9NQ11,O75581
36243,Q13148,O75586
36351,Q9NQ11,O75592
36473,P35637,O75616
36635,O60260,O75643
36660,P00441,O75643
36748,Q13148,O75643
36839,Q9UGJ0,O75643
37000,P55072,O75674
37001,P55072,O75674
37129,P37231,O75688
37142,P55072,O75688
37475,Q6ZW49,O75717
37504,P42858,O75746
37596,P04626,O75791
37729,P04626,O75815
37730,P04626,O75815
37749,P35637,O75815
37753,P55072,O75815
37868,P37840,O75821
37869,P37840,O75821
37945,Q16637,O75821
37946,Q16637,O75821
37947,Q16637,O75821
38024,Q5S007,O75822
38069,Q9UGJ0,O75828
38107,O60260,O75832
38261,Q5S007,O75843
38309,P55072,O75844
38528,Q9UGJ0,O75874
38760,Q6ZW49,O75909
38785,P37840,O75914
38849,P21675,O75923
38911,P20226,O75925
38921,P37231,O75925
38925,P42858,O75925
38980,Q6ZW49,O75925
39045,P37231,O75928
39077,Q6ZW49,O75928
39085,Q99497,O75928
39170,Q14203,O75935
39313,Q6ZW49,O75952
39319,P21675,O75953
39413,P01023,O75956
39447,Q13867,O75962
39448,Q13867,O75962
39449,Q13867,O75962
39450,Q13867,O75962
39478,Q5S007,O75964
39479,Q5S007,O75964
39506,P21917,O75970
39620,P28799,O76003
39621,P28799,O76003
39622,P28799,O76003
39672,Q9UGJ0,O76003
39838,O60260,O76031
40019,P55072,O76064
40112,Q14203,O76071
40189,Q5S007,O76075
40353,P55072,O77932
40354,P55072,O77932
40355,P55072,O77932
40583,Q99497,O94776
40643,O43464,O94788
40731,Q16637,O94805
40732,Q16637,O94805
40733,Q16637,O94805
40761,P21675,O94806
40819,P22314,O94808
40930,P37840,O94811
40938,Q01959,O94811
40991,P42858,O94817
41104,O60260,O94826
41154,Q9BXM7,O94826
41226,Q5S007,O94832
41227,Q5S007,O94832
41228,Q5S007,O94832
41229,Q6ZW49,O94832
41374,P35637,O94874
41505,P55072,O94888
41624,P49768,O94905
41625,P49768,O94905
41664,O60260,O94906
41718,Q5S007,O94906
41720,Q6Y7W6,O94906
41944,P55072,O94941
41945,P55072,O94941
42131,P42858,O94973
42138,P55072,O94973
42168,Q9UGJ0,O94973
42222,P04156,O94985
42322,Q6ZW49,O94993
42357,P01023,O95059
42483,Q9NQ11,O95070
42518,P55072,O95071
42586,P35637,O95073
42677,P37840,O95139
42683,O60260,O95140
42684,O60260,O95140
42685,O60260,O95140
42686,O60260,O95140
42695,P55072,O95140
42696,P55072,O95140
42697,P55072,O95140
42832,P55072,O95155
42833,P55072,O95155
42834,P55072,O95155
42835,P55072,O95155
42836,P55072,O95155
42837,P55072,O95155
42838,P55072,O95155
42839,P55072,O95155
42840,P55072,O95155
42841,P55072,O95155
42967,P42858,O95163
42968,P42858,O95163
43176,Q5S007,O95168
43430,Q5S007,O95218
44013,Q6ZW49,O95273
44061,O95292,O95292
44062,O95292,O95292
44063,P04626,O95292
44222,O60260,O95299
44297,Q9UGJ0,O95336
44387,Q6ZW49,O95347
44405,Q9UGJ0,O95347
44491,Q9UGJ0,O95352
44786,P55072,O95376
44932,Q5S007,O95394
45060,Q5S007,O95400
45062,Q6ZW49,O95400
45179,P19404,O95425
45339,P00441,O95433
45486,Q9UGJ0,O95433
45560,Q5S007,O95456
45599,P04626,O95470
45666,P35637,O95477
45941,P49768,O95551
45994,Q5S007,O95563
45995,Q5S007,O95563
46026,P04626,O95573
46049,Q9UGJ0,O95573
46131,P55072,O95602
46132,P55072,O95602
46516,P49768,O95645
46576,Q9UGJ0,O95670
46691,Q9UGJ0,O95678
46740,P04626,O95704
46834,P42858,O95716
46849,O60260,O95718
46973,Q16637,O95741
46974,Q16637,O95741
46975,Q16637,O95741
47072,P55072,O95749
47284,Q6ZW49,O95757
47565,Q16637,O95785
47566,Q16637,O95785
47567,Q16637,O95785
47656,P10636,O95793
47720,Q6ZW49,O95793
47757,P55072,O95801
47819,O60260,O95816
47881,P55072,O95816
47894,Q13148,O95816
47977,P00441,O95817
48033,Q6ZW49,O95819
48055,O60260,O95831
48137,Q5S007,O95831
48192,Q9UGJ0,O95831
48231,O43464,O95835
48406,Q16637,O95865
48407,Q16637,O95865
48728,P04626,O95980
48764,P35637,O95983
48801,Q99497,O95983
48802,Q99497,O95983
48919,Q5S007,O95990
49105,P42858,O96000
49204,O60260,O96008
49244,Q9BXM7,O96008
49261,P42858,O96011
49262,P42858,O96011
49389,P55072,O96017
49390,P55072,O96017
49656,P00326,P00326
49657,P00326,P00326
49711,P35637,P00338
49713,P42858,P00338
49743,Q5S007,P00338
49745,Q6ZW49,P00338
49789,Q9UGJ0,P00338
49823,P35637,P00367
49881,O60260,P00387
49943,P37840,P00395
49987,P42858,P00403
50013,P42858,P00414
50081,P00441,P00441
50082,P00441,P00441
50083,P00441,P00441
50084,P00441,P00441
50085,P00441,P00441
50086,P00441,P00441
50087,P00441,P00441
50088,P00441,P00441
50173,Q96Q42,P00441
50174,Q99497,P00441
50175,Q99497,P00441
50176,Q99497,P00441
50205,P05164,P00450
50347,P35637,P00492
50349,P37840,P00492
50397,P35637,P00505
50451,O60260,P00519
50452,O60260,P00519
50476,P04626,P00519
50526,P51587,P00519
50761,P09936,P00533
50764,P10636,P00533
50820,P37840,P00533
50826,P42858,P00533
50827,P42858,P00533
50951,Q92870,P00533
51114,P35637,P00558
51213,Q9UGJ0,P00558
51214,Q9UGJ0,P00558
51215,Q9UGJ0,P00558
51354,P00749,P00747
51362,P04156,P00747
51363,P04156,P00747
51417,P00749,P00749
51451,P00749,P00750
51569,P35637,P00918
51592,Q9UGJ0,P00918
51721,P55072,P01009
51744,P04626,P01011
51780,P12821,P01019
51811,P01023,P01023
51880,Q16637,P01023
51881,Q16637,P01023
51882,Q16637,P01023
51885,Q6ZW49,P01023
52104,P20226,P01100
52105,P20226,P01100
52106,P20226,P01100
52109,P21675,P01100
52110,P21675,P01100
52282,P20226,P01106
52365,Q14203,P01106
52389,Q6Y7W6,P01106
52536,P00749,P01112
52804,P04626,P01133
52827,P04626,P01135
52847,P01023,P01137
52855,P04626,P01137
52935,P01023,P01138
52936,P01023,P01138
53284,P01023,P01375
53411,P20226,P01574
53439,P20226,P01579
53600,P21675,P01730
53678,Q5S007,P01834
53709,Q16637,P01871
53710,Q16637,P01871
53726,Q5S007,P01876
53938,Q9NQ11,P02452
53939,Q9NQ11,P02452
54055,P00441,P02511
54256,Q9UGJ0,P02533
54332,Q9UGJ0,P02538
54344,O60260,P02545
54427,P55072,P02545
54455,Q5S007,P02545
54607,P01023,P02649
54608,P01023,P02649
54617,P04156,P02649
54627,P49768,P02649
54628,P49768,P02649
54645,Q92673,P02649
54773,Q16637,P02675
54774,Q16637,P02675
54775,Q16637,P02675
54887,Q5S007,P02686
54888,Q5S007,P02686
54899,Q96QT4,P02686
54900,Q96QT4,P02686
55402,O60260,P02768
55436,P35637,P02768
55621,O60260,P02786
55642,P04626,P02786
55686,Q30201,P02786
55687,Q30201,P02786
55688,Q30201,P02786
55689,Q30201,P02786
55831,P42858,P02792
55929,Q6ZW49,P02795
55936,P35637,P02808
56023,P04626,P03372
56058,P20226,P03372
56095,P37231,P03372
56281,Q6ZW49,P03886
56283,Q99497,P03886
56395,P28799,P03973
56396,P28799,P03973
56397,P28799,P03973
56576,Q99497,P04040
56718,P37840,P04049
56729,P55072,P04049
56867,O60260,P04062
56868,P01023,P04062
56871,P37840,P04062
56883,Q6ZW49,P04066
56961,P35637,P04075
56966,P42858,P04075
57027,Q9UGJ0,P04075
57143,Q96QT4,P04083
57327,P20226,P04150
57328,P20226,P04150
57344,P37231,P04150
57471,P04156,P04156
57472,P04156,P04156
57473,P04156,P04156
57489,P42858,P04156
57546,P00441,P04179
57547,P00441,P04179
57647,P01023,P04180
57668,P00441,P04181
57699,P35637,P04181
57788,P01023,P04183
57962,P42858,P04216
